"entryOffset"	"strLength"	"strCount"	"strXpos"	"strYpos"	"strColor"	"ptrBytes"	"strOffset"	"strSize"	"strText"	"translation"
"0003F63A"	"24"	"14"	"4"	"7"	"0"	"42F0"	"000384F0"	"336"	"　　　　　　　　　　　　　　　　　　　　　　　　
　あるひとつぜん　へいわな　まち　チャニ―ズ・ヒ
　　　　　　　　　　　　　　　　　　　　　　　　
ルに　なにかが　おこった・・・　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　すべてのれんらくは　とだえ　そこへ　ふみいった
　　　　　　　　　　　　　　　　　　　　　　　　
ものは　にどと　かえってはこなかった。　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　しずかな　そのすがたをよそに　このまちでは　そ
　　　　　　　　　　　　　　　　　　　　　　　　
うぞうをぜっするなにかが　おきていた。　　　　　
"	" One day, something     ominous happened in the peaceful town of        Chaney's Hills...                                All communications wereinterrupted. Those sent to investigate never    returned.                                        Despite the town's     quiet appearance,       something unimaginable  had awakened there...   "
"0003F642"	"27"	"6"	"3"	"2"	"240"	"96AE"	"0003F8AE"	"162"	"┌──────────────────────┐　　　
│ＳＥＬＥＣＴ　ＣＯＭＭＡＮＤ　　ＷＥＡＰＯＮ│　　　
└──────────────┐　ＩＴＥＭ　　│　　　
　　　　　　　　　　　　　　　│　ＰＳしょり　│　　　
　　　　　　　　　　　　　　　└───────┘　　　
　(ＷＥＡＰＯＮ)　　　　　　(ＩＴＥＭ)　　　　　　
"	"[0B][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0D]   [0E]SELECT COMMAND  WEAPON[0F]   [3F][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][BC] ITEM  [0F]                  [0E] PS REM[0F]                  [3F][7E][7E][7E][7E][7E][7E][7E][7F]    (WEAPON)      (ITEM)      "
"0003F64A"	"27"	"6"	"4"	"21"	"240"	"9750"	"0003F950"	"162"	"　　　　　　　　　　　┌──────────────┐
　　　　　　　　　　　│※ＰＦ：０００／０００　　　│
　　　　　　　　　　　│　ＥＸＰ：００００／００００│
ＢＵＬＬＥＴ―０００　│　　　　　　　　　　　　　　│
　　　　　　　　　　　│※ＭＦ：０００／０００　　　│
　　　　　　　　　　　└──────────────┘
"	
"0003F782"	"8"	"3"	"12"	"14"	"16"	"4440"	"00038640"	"24"	"ＳＴＡＲＴ　　　
　　　　　　　　
ＣＯＮＴＩＮＵＥ
"	"START           CONTINUE"
"0003F792"	"26"	"5"	"3"	"20"	"16"	"5C80"	"00039E80"	"130"	"　　©　１９８９　ＦＵＮ　ＰＲＯＪＥＣＴ　　
　　　　　　　　　　　　　　　　　　　　　　
©　１９８９　ＶＩＣＴＯＲ　ＭＵＳＩＣＡＬ　
　　　　　　　ＩＮＤＵＳＴＲＩＥＳ，ＩＮＣ.
"	"   [7D] 1989 FUN PROJECT       [7D] 1989 VICTOR MUSICAL        INDUSTRIES, INC.           2017 Nebulous              Translations       "
"0003F7B2"	"9"	"1"	"11"	"9"	"240"	"9E60"	"00040060"	"9"	"ＧＡＭＥ　ＯＶＥＲ
"	
"0003F7BA"	"20"	"12"	"6"	"12"	"240"	"9E69"	"00040069"	"240"	"┌──────────────────┐
│　　　　　　　　　　　　　　　　　　│
│　　ライラの　たおれたいま，　　　　│
│　　　　　　　　　　　　　　　　　　│
│　　゛チャニ―ズ―ヒルのかい゛を　　│
│　　　　　　　　　　　　　　　　　　│
│　　くいとめられる　ものは　　　　　│
│　　　　　　　　　　　　　　　　　　│
│　　だれも　いない……　　　　　　　│
│　　　　　　　　　　　　　　　　　　│
│　　　　　　　　　　　　　　　　　　│
└──────────────────┘
"	"                    [0B][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0D][0E]                  [0F][0E]   With Lila's    [0F][0E]  death, there's  [0F][0E]   nobody left    [0F][0E]   to stop the    [0F][0E] ""Chaney's Hills  [0F][0E]    Horror""...    [0F][0E]                  [0F][3F][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7F]                    "
"0003F7C2"	"24"	"25"	"4"	"2"	"16"	"9919"	"0003FB19"	"600"	"　かくして　よみのみちは　ふういんされ　《チャニ
　　　　　　　　　　　　　　　　　　　　　　　　
―ズ・ヒルのかい》は　まくを　とじた。　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　おおくの　ぎせいを　だいしょうに　まちには　へ
　　　　　　　　　　　　　　　　　　　　　　　　
いわが　もどった。　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　そして　６つの　ひかりの　なか　ライラは　かく
　　　　　　　　　　　　　　　　　　　　　　　　
せい　することが　できた。　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　ブラウニングの　ふっかつである。　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　だが　よみのみちの　ばんにんという　しゅくめい
　　　　　　　　　　　　　　　　　　　　　　　　
を　せおった　ブラウニングけの　ちをひく　ライラ
　　　　　　　　　　　　　　　　　　　　　　　　
・アルフォンにとって　このじけんは　おわりではな
　　　　　　　　　　　　　　　　　　　　　　　　
く　はじまりを　いみするのだ。　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　
　もし　チャニ―ズ・ヒル　いがいにも　よみのみち
　　　　　　　　　　　　　　　　　　　　　　　　
が　あるならば・・・・　　　　　　　　　　　　　
"	"                                                  The ""Chaney's Hills    Horror"", which claimed   many lives, is over.                          As the Six Lights shined upon her, Lila Alphon   came to a realization.                            She was the last     surviving member of the    Browning family,      destined to guard the   path to the underworld.                        Thus, this was not the  end for her, but merely     the beginning.                              After all, there may be   other paths to the         underworld...                                                      "
"0003F7E2"	"20"	"21"	"6"	"4"	"240"	"C3B0"	"000025B0"	"420"	"　　《しりょうせんせん　ＤＢＵＧ》　　　
　　　　　　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　
ＳＴＡＧＥ　ＮＯ　　００　　　　　　　　
　　　　　　　　　　　　　　　　　　　　
ＴＥＫＩ　　　　　　ＮＯＲＭＡＬ　　　　
　　　　　　　　　　ＴＥＫＩ　ＯＦＦ　　
　　　　　　　　　　　　　　　　　　　　
ＭＥＳＳＡＧＥ　　　ＯＦＦ　　　　　　　
　　　　　　　　　　ＯＮ　　　　　　　　
　　　　　　　　　　　　　　　　　　　　
ＰＬＡＹＥＲ　　　　ＬＩＶＥ　　　　　　
　　　　　　　　　　ＤＩＥ　　　　　　　
　　　　　　　　　　　　　　　　　　　　
ＭＡＰ　　　　　　　ＷＡＹ　　　　　　　
　　　　　　　　　　ＮＯ　ＷＡＹ　　　　
　　　　　　　　　　　　　　　　　　　　
ＣＨ　ＳＴＡＲＴ　　０１　ＣＨ　　　　　
　　　　　　　　　　　　　　　　　　　　
ＳＯＵＮＤ　　　　　０１　　　　　　　　
　　　　　　　　　　　　　　　　　　　　
"	"     Debug Menu                                             STAGE NO  00                            ENEMIES   ON                  OFF                           MESSAGES  ON                  OFF                           NO DAMAGE ON                  OFF                           COLLISION ON                  OFF                           CHAPTER   01                            SOUND     01                            "
"0003F7FA"	"14"	"6"	"16"	"2"	"240"	"7561"	"0000D761"	"84"	"┌────────────┐
│　　　　　　　　　　　　│
│　この　ＰＳしょりには　│
│　　　　　　　　　　　　│
│　　ＭＦち　ひつようです│
└────────────┘
"	"[0B][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0C][0D][0E]   To use   [0F][0E]   PS REM   [0F][0E]    MFs are [0F][0E]  required  [0F][3F][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7E][7F]"
